Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,Log_Imports,Log_GDP_Imp,Log_GDP_Exp,Log_Dist,Log_NTB_Imp,Log_NTB_Exp,Log_Tariff,COB
5354.447,Singapore,MVH - Motor vehicles and parts,Canada,2018,MFN,0,376998146.5,1725329193,13060,2.6,4.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.728714624,8.576339215,9.236871971,4.115943177,0.414973348,0.6232492904,#NUM!,0
0.213,Singapore,MVH - Motor vehicles and parts,Chile,2018,MFN,0,376998146.5,295402652,16174,2.6,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.6716203966,8.576339215,8.47041439,4.208817439,0.414973348,0.1139433523,#NUM!,0
42474.695,Singapore,MVH - Motor vehicles and parts,India,2018,MFN,0,376998146.5,2702929719,3440,2.6,4.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.628130269,8.576339215,9.431834753,3.536558443,0.414973348,0.69019608,#NUM!,0
1437497.823,Singapore,MVH - Motor vehicles and parts,Japan,2018,MFN,0,376998146.5,5037835383,5241,2.6,3.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.157607196,8.576339215,9.702243972,3.71941416,0.414973348,0.5185139399,#NUM!,0
146824.068,Singapore,MVH - Motor vehicles and parts,Malaysia,2018,MFN,0,376998146.5,358791513.2,377,2.6,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.166797253,8.576339215,8.554842162,2.57634135,0.414973348,0.3802112417,#NUM!,0
24350.425,Singapore,MVH - Motor vehicles and parts,Mexico,2018,MFN,0,376998146.5,1222408203,16024,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.386506546,8.576339215,9.087216256,4.204770936,0.414973348,0,#NUM!,0
499.197,Singapore,MVH - Motor vehicles and parts,New Zealand,2018,MFN,0,376998146.5,211953111,8529,2.6,2.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.698271967,8.576339215,8.326239795,3.930898114,0.414973348,0.3979400087,#NUM!,0
567.649,Singapore,MVH - Motor vehicles and parts,Peru,2018,MFN,0,376998146.5,222597212.9,19122,2.6,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.754079877,8.576339215,8.347519722,4.281533314,0.414973348,0.1461280357,#NUM!,0
9037.558,Singapore,MVH - Motor vehicles and parts,Vietnam,2018,MFN,0,376998146.5,308702086.8,1488,2.6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.956051097,8.576339215,8.489539565,3.172602931,0.414973348,0.6989700043,#NUM!,0
661.172,Australia,OAP - Animal products nec,Australia,2018,MFN,0.31,1428529571,1428529571,0,3.5,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.820314453,9.154889235,9.154889235,#NUM!,0.5440680444,0.5440680444,-0.5086383062,0
762.875,Australia,OAP - Animal products nec,Canada,2018,MFN,2.5,1428529571,1725329193,14143,3.5,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.882453383,9.154889235,9.236871971,4.150541541,0.5440680444,0.6232492904,0.3979400087,0
