Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,COB
89.545,Australia,OAP - Animal products nec,Vietnam,2018,MFN,0.83,1428529571,308702086.8,5170,3.5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,Australia,OAP - Animal products nec,Brunei,2018,MFN,0.83,1428529571,13567351.18,3899,3.5,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,Australia,OAP - Animal products nec,peru,2018,MFN,0.83,1428529571,222597212.9,12854,3.5,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,Australia,OAP - Animal products nec,Japan,2018,MFN,0.83,1428529571,5037835383,6848,3.5,3.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,Australia,OAP - Animal products nec,Mexico,2018,MFN,0.83,1428529571,1222408203,14359,3.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112553.213,Australia,"ELE - Computer, electronic and optical products",New Zealand,2018,MFN,0.78,1428529571,211953111,4157,3.5,2.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116.132,Australia,"ELE - Computer, electronic and optical products",Brunei,2018,MFN,0,1428529571,13567351.18,3899,3.5,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
169438.425,Australia,"ELE - Computer, electronic and optical products",Canada,2018,MFN,0.88,1428529571,1725329193,14143,3.5,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490.541,Australia,"ELE - Computer, electronic and optical products",Chile,2018,MFN,0.8,1428529571,295402652,12726,3.5,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58380.257,Australia,"ELE - Computer, electronic and optical products",India,2018,MFN,0.75,1428529571,2702929719,7809,3.5,4.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
661757.289,Australia,"ELE - Computer, electronic and optical products",Japan,2018,MFN,0.74,1428529571,5037835383,6848,3.5,3.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1310855.067,Australia,"ELE - Computer, electronic and optical products",Malaysia,2018,MFN,0.87,1428529571,358791513.2,4743,3.5,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
631109.476,Australia,"ELE - Computer, electronic and optical products",Mexico,2018,MFN,0.84,1428529571,1222408203,14359,3.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73062.899,Australia,"ELE - Computer, electronic and optical products",New Zealand,2018,MFN,0.86,1428529571,211953111,4157,3.5,2.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
596.316,Australia,"ELE - Computer, electronic and optical products",Peru,2018,MFN,0.35,1428529571,222597212.9,12854,3.5,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
568051.931,Australia,"ELE - Computer, electronic and optical products",Singapore,2018,MFN,0.76,1428529571,376998146.5,4374,3.5,2.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1704834.161,Australia,"ELE - Computer, electronic and optical products",Vietnam,2018,MFN,0.97,1428529571,308702086.8,5170,3.5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11251.216,Australia,MVH - Motor vehicles and parts,Australia,2018,MFN,4.04,1428529571,1428529571,0,3.5,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77543.229,Australia,MVH - Motor vehicles and parts,Canada,2018,MFN,4.1,1428529571,1725329193,14143,3.5,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3092.177,Australia,MVH - Motor vehicles and parts,Chile,2018,MFN,3.91,1428529571,295402652,12726,3.5,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137110.362,Australia,MVH - Motor vehicles and parts,India,2018,MFN,3.7,1428529571,2702929719,7809,3.5,4.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8447394.196,Australia,MVH - Motor vehicles and parts,Japan,2018,MFN,4.15,1428529571,5037835383,6848,3.5,3.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37420.329,Australia,MVH - Motor vehicles and parts,Malaysia,2018,MFN,4.03,1428529571,358791513.2,4743,3.5,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
478833.513,Australia,MVH - Motor vehicles and parts,Mexico,2018,MFN,4.13,1428529571,1222408203,14359,3.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62707.312,Australia,MVH - Motor vehicles and parts,New Zealand,2018,MFN,3.98,1428529571,211953111,4157,3.5,2.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
307.22,Australia,MVH - Motor vehicles and parts,Peru,2018,MFN,4.17,1428529571,222597212.9,12854,3.5,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30267.225,Australia,MVH - Motor vehicles and parts,Singapore,2018,MFN,3.89,1428529571,376998146.5,4374,3.5,2.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18259.816,Australia,MVH - Motor vehicles and parts,Vietnam,2018,MFN,3.98,1428529571,308702086.8,5170,3.5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186.202,Brunei,OAP - Animal products nec,Australia,2018,MFN,0,13567351.2,1428529571,3899,2.4,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.087,Brunei,OAP - Animal products nec,India,2018,MFN,0,13567351.2,2702929719,4346,2.4,4.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.525,Brunei,OAP - Animal products nec,Japan,2018,MFN,0,13567351.2,5037835383,4262,2.4,3.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5708.3,Brunei,OAP - Animal products nec,Malaysia,2018,MFN,0,13567351.2,358791513.2,1416,2.4,2.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.615,Brunei,OAP - Animal products nec,New Zealand,2018,MFN,0,13567351.2,211953111,7906,2.4,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
